City ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,saint-philippe,-21.36,55.77,73.4,64,0,5.82,RE,1603836949
1,beringovskiy,63.05,179.32,27.19,92,85,11.88,RU,1603836803
2,bredasdorp,-34.53,20.04,64.4,77,100,4.7,ZA,1603836949
3,ahuimanu,21.44,-157.84,80.6,74,90,4.88,US,1603836949
4,saint george,37.1,-113.58,61.0,9,1,3.36,US,1603836788
5,dingle,11.0,122.67,76.26,88,85,3.78,PH,1603836950
6,qaanaaq,77.48,-69.36,10.63,80,92,13.13,GL,1603836950
7,lagoa,39.05,-27.98,62.71,64,100,9.26,PT,1603836950
8,jamestown,42.1,-79.24,45.0,93,90,6.93,US,1603836950
9,songjianghe,42.19,127.48,29.77,90,0,4.56,CN,1603836950
10,hermanus,-34.42,19.23,61.0,92,100,4.83,ZA,1603836950
11,cozumel,20.51,-86.95,82.4,83,90,17.22,MX,1603836735
12,norman wells,65.28,-126.83,19.4,79,75,11.41,CA,1603836950
13,bluff,-46.6,168.33,57.99,65,21,1.01,NZ,1603836950
14,rikitea,-23.12,-134.97,75.38,83,100,17.0,PF,1603836951
15,cape town,-33.93,18.42,64.0,87,75,2.24,ZA,1603836707
16,renqiu,38.7,116.09,46.69,43,97,2.39,CN,1603836951
17,minsk,53.9,27.57,48.2,93,75,6.71,BY,1603836800
18,enshi,30.3,109.48,57.27,83,100,3.33,CN,1603836951
19,bubaque,11.28,-15.83,82.83,81,57,10.04,GW,1603836951
20,mataura,-46.19,168.86,57.99,65,6,1.01,NZ,1603836951
21,puerto ayora,-0.74,-90.35,75.2,69,40,10.29,EC,1603836951
22,hithadhoo,-0.6,73.08,83.52,66,95,9.66,MV,1603836951
23,albany,42.6,-73.97,48.99,64,100,2.39,US,1603836794
24,kurilsk,45.23,147.88,46.15,67,96,6.26,RU,1603836952
25,fortuna,40.6,-124.16,69.01,37,20,14.99,US,1603836952
26,te anau,-45.42,167.72,51.24,67,87,1.83,NZ,1603836952
27,ilulissat,69.22,-51.1,17.6,61,62,3.27,GL,1603836952
28,pandharpur,17.67,75.33,72.12,71,1,4.94,IN,1603836952
29,bonnyville,54.27,-110.73,46.4,61,90,13.87,CA,1603836952
30,ushuaia,-54.8,-68.3,46.4,42,20,11.41,AR,1603836682
31,coahuayana,18.73,-103.68,82.4,74,75,9.17,MX,1603836952
32,kavieng,-2.57,150.8,83.79,67,97,3.02,PG,1603836952
33,leningradskiy,69.38,178.42,17.8,90,0,18.3,RU,1603836807
34,kuching,1.55,110.33,75.2,94,20,3.36,MY,1603836953
35,busselton,-33.65,115.33,57.99,77,17,7.29,AU,1603836953
36,arraial do cabo,-22.97,-42.03,75.2,83,0,14.99,BR,1603836953
37,mountain home,43.13,-115.69,55.0,25,1,10.29,US,1603836901
38,zhuanghe,39.7,122.99,45.14,52,91,5.82,CN,1603836953
39,taoudenni,22.68,-3.98,84.15,15,3,7.99,ML,1603836953
40,evensk,61.95,159.23,24.82,80,0,11.54,RU,1603836953
41,bathsheba,13.22,-59.52,80.6,88,75,13.87,BB,1603836791
42,vaini,-21.2,-175.2,77.0,73,20,13.87,TO,1603836954
43,akdepe,42.06,59.38,33.8,64,0,4.7,TM,1603836954
44,flin flon,54.77,-101.86,28.4,79,75,6.93,CA,1603836954
45,east london,-33.02,27.91,70.34,86,29,5.5,ZA,1603836954
46,port elizabeth,-33.92,25.57,62.6,88,0,19.46,ZA,1603836954
47,bandarbeyla,9.49,50.81,75.58,81,14,4.88,SO,1603836954
48,pringsewu,-5.36,104.97,73.83,86,95,4.38,ID,1603836954
49,tomatlan,19.93,-105.25,82.89,78,95,10.09,MX,1603836802
50,wanning,18.8,110.4,78.08,89,100,24.4,CN,1603836954
51,veraval,20.9,70.37,77.94,51,0,10.8,IN,1603836955
52,yulara,-25.24,130.99,60.8,31,0,5.82,AU,1603836790
53,new norfolk,-42.78,147.06,55.99,79,71,3.65,AU,1603836955
54,susanville,40.42,-120.65,66.16,25,0,4.09,US,1603836921
55,senanga,-16.12,23.27,75.49,28,31,5.17,ZM,1603836955
56,vila franca do campo,37.72,-25.43,64.4,68,75,4.7,PT,1603836955
57,saskylakh,71.92,114.08,5.25,93,100,10.25,RU,1603836955
58,sukhobezvodnoye,57.05,44.89,33.21,92,75,8.05,RU,1603836955
59,kyshtovka,56.55,76.63,29.08,97,69,15.52,RU,1603836955
60,duki,30.15,68.57,54.68,33,0,2.26,PK,1603836955
61,burns lake,54.23,-125.75,42.35,90,100,3.27,CA,1603836956
62,kodiak,57.79,-152.41,48.2,45,1,8.05,US,1603836956
63,isla vista,34.41,-119.86,75.99,13,1,10.29,US,1603836744
64,assiniboia,49.63,-105.98,44.24,72,32,16.96,CA,1603836956
65,manta,-0.95,-80.73,80.6,65,75,16.11,EC,1603836956
66,georgetown,5.41,100.34,78.8,94,40,4.34,MY,1603836956
67,hobart,-42.88,147.33,55.99,81,75,1.12,AU,1603836748
68,surt,31.21,16.59,72.77,69,65,15.12,LY,1603836956
69,avarua,-21.21,-159.78,69.8,94,100,8.05,CK,1603836956
70,kathu,7.92,98.33,84.99,83,20,9.17,TH,1603836956
71,bairiki,1.33,172.98,84.2,70,40,4.7,KI,1603836956
72,bad durkheim,49.47,8.17,50.0,82,100,9.37,DE,1603836957
73,diu,20.71,70.98,77.74,53,0,5.79,IN,1603836957
74,katangli,51.71,143.23,35.15,87,21,2.33,RU,1603836957
75,sakhnovshchyna,49.15,35.87,47.84,53,10,8.95,UA,1603836957
76,upernavik,72.79,-56.15,17.28,81,0,6.26,GL,1603836957
77,moranbah,-22.0,148.05,76.28,64,0,10.67,AU,1603836957
78,zelenyy bor,53.67,91.67,26.6,92,85,4.47,RU,1603836957
79,salym,60.06,71.48,12.97,95,92,9.86,RU,1603836958
80,lebu,-37.62,-73.65,52.74,71,97,13.31,CL,1603836958
81,mount isa,-20.73,139.5,69.8,16,0,8.05,AU,1603836958
82,baker city,44.77,-117.83,59.0,35,1,2.95,US,1603836958
83,mayumba,-3.43,10.66,77.81,87,100,6.89,GA,1603836958
84,rio grande,-32.03,-52.1,62.01,99,100,8.99,BR,1603836945
85,namibe,-15.2,12.15,70.9,78,96,4.47,AO,1603836958
86,hilo,19.73,-155.09,80.6,78,90,5.82,US,1603836920
87,port macquarie,-31.43,152.92,66.0,74,66,1.99,AU,1603836697
88,ixtapa,20.7,-105.2,87.8,70,40,11.41,MX,1603836958
89,sterling,39.01,-77.43,63.0,67,90,4.7,US,1603836791
90,rawson,-43.3,-65.1,64.0,27,91,20.78,AR,1603836958
91,tiksi,71.69,128.87,-1.73,90,39,11.36,RU,1603836959
92,satao,40.74,-7.73,57.99,87,99,8.01,PT,1603836959
93,neverkino,52.79,46.74,31.78,91,92,5.19,RU,1603836959
94,tambura,5.6,27.47,69.24,93,100,3.31,SS,1603836959
95,dikson,73.51,80.55,9.45,96,100,16.49,RU,1603836959
96,sorland,67.67,12.69,35.6,93,20,10.04,NO,1603836959
97,coihaique,-45.58,-72.07,44.6,70,90,6.93,CL,1603836959
98,mar del plata,-38.0,-57.56,62.6,45,0,10.29,AR,1603836775
99,chegdomyn,51.12,133.02,32.14,98,96,2.06,RU,1603836959
100,punta arenas,-53.15,-70.92,46.4,58,0,21.92,CL,1603836960
101,laela,-8.57,32.05,65.86,64,27,2.84,TZ,1603836960
102,maridi,4.92,29.47,69.08,95,100,0.96,SS,1603836960
103,ponta delgada,37.73,-25.67,64.4,68,75,4.7,PT,1603836960
104,torbay,47.67,-52.73,41.0,100,90,12.75,CA,1603836960
105,pleasanton,37.66,-121.87,77.0,11,1,5.82,US,1603836960
106,gualeguay,-33.14,-59.31,62.46,68,0,6.69,AR,1603836723
107,zatoka,46.07,30.47,60.8,93,75,8.95,UA,1603836960
108,grand gaube,-20.01,57.66,70.0,79,0,3.0,MU,1603836960
109,itoman,26.12,127.67,73.4,73,75,9.17,JP,1603836960
110,katsuura,35.13,140.3,60.8,77,20,6.93,JP,1603836779
111,joue-les-tours,47.35,0.67,55.4,100,90,9.17,FR,1603836961
112,pirot,43.15,22.59,52.0,10,73,3.24,RS,1603836961
113,saint-augustin,51.23,-58.65,31.41,90,81,3.06,CA,1603836961
114,bell ville,-32.63,-62.69,75.0,48,0,5.99,AR,1603836961
115,vallenar,-28.57,-70.76,70.81,41,0,6.2,CL,1603836961
116,opuwo,-18.06,13.84,65.95,51,27,4.74,NA,1603836961
117,kapaa,22.08,-159.32,82.99,83,75,4.7,US,1603836961
118,tuktoyaktuk,69.45,-133.04,12.2,85,90,11.41,CA,1603836779
119,kaitangata,-46.28,169.85,55.0,71,3,4.0,NZ,1603836961
120,ballina,-28.87,153.57,68.0,88,90,8.05,AU,1603836924
121,qasigiannguit,68.82,-51.19,17.6,61,70,2.24,GL,1603836962
122,laguna,38.42,-121.42,78.01,18,1,5.82,US,1603836962
123,ukiah,39.15,-123.21,90.0,11,1,4.74,US,1603836769
124,mahebourg,-20.41,57.7,70.0,79,5,3.0,MU,1603836962
125,berlevag,70.86,29.09,33.8,80,0,6.93,NO,1603836962
126,adavere,58.71,25.9,54.0,92,100,1.99,EE,1603836962
127,atuona,-9.8,-139.03,78.96,72,1,20.4,PF,1603836779
128,maltahohe,-24.83,16.98,69.37,22,41,10.0,NA,1603836962
129,baillif,16.02,-61.75,75.2,94,3,2.24,GP,1603836962
130,zhangye,38.93,100.45,35.78,81,67,1.54,CN,1603836962
131,wanxian,30.8,108.39,60.73,85,100,5.14,CN,1603836963
132,ribeira grande,38.52,-28.7,62.6,72,75,6.93,PT,1603836963
133,ostrovnoy,68.05,39.51,42.71,92,100,21.74,RU,1603836963
134,touros,-5.2,-35.46,80.6,74,0,13.87,BR,1603836963
135,bethel,41.37,-73.41,53.6,54,40,3.36,US,1603836963
136,fukue,32.69,128.84,67.64,61,60,9.31,JP,1603836963
137,kuah,6.33,99.84,78.8,94,20,10.67,MY,1603836963
138,castro,-24.79,-50.01,64.67,58,0,4.5,BR,1603836963
139,houma,29.6,-90.72,84.2,74,75,14.99,US,1603836893
140,vao,-22.67,167.48,73.04,83,82,19.69,NC,1603836963
141,ust-omchug,61.15,149.63,14.04,86,0,0.54,RU,1603836963
142,kutum,14.2,24.67,75.09,24,0,11.68,SD,1603836964
143,chuy,-33.7,-53.46,61.72,94,100,14.05,UY,1603836784
144,chapais,49.78,-74.85,24.8,68,90,8.05,CA,1603836805
145,asau,46.43,26.4,50.0,98,0,1.52,RO,1603836964
146,nauta,-4.51,-73.58,88.7,63,72,2.48,PE,1603836964
147,pemangkat,1.17,108.97,76.23,91,90,8.01,ID,1603836964
148,giddarbaha,30.2,74.67,62.24,28,0,1.99,IN,1603836964
149,lamu,-2.27,40.9,80.6,83,1,5.82,KE,1603836964
150,baruun-urt,46.68,113.28,25.83,77,0,6.58,MN,1603836795
151,ilo,-17.64,-71.34,63.75,73,83,5.28,PE,1603836964
152,kuybyshevo,47.81,38.91,50.22,52,30,15.43,RU,1603836965
153,bengkulu,-3.8,102.27,75.45,82,98,3.18,ID,1603836965
154,yellowknife,62.46,-114.35,17.6,67,75,9.17,CA,1603836783
155,sobolevo,54.43,31.9,44.53,83,17,9.73,RU,1603836965
156,maragogi,-9.01,-35.22,76.98,79,39,9.55,BR,1603836965
157,sitka,57.05,-135.33,46.4,87,90,4.7,US,1603836965
158,falam,22.92,93.68,56.71,100,2,1.79,MM,1603836965
159,irbeyskoye,55.64,95.45,34.99,84,87,5.35,RU,1603836965
160,ponta do sol,32.67,-17.1,66.2,72,40,3.36,PT,1603836966
161,codrington,-38.27,141.97,55.69,84,62,7.92,AU,1603836966
162,kudahuvadhoo,2.67,72.89,81.95,78,54,13.58,MV,1603836966
163,zilair,52.23,57.44,26.78,91,0,3.27,RU,1603836966
